trialSet,seed,numBlocks,numTrials,allDelays,block,trialNum,trialDelay
A,2,2,60,0 100 200 300 400 500,1,1,0
A,2,2,60,0 100 200 300 400 500,1,2,500
A,2,2,60,0 100 200 300 400 500,1,3,400
A,2,2,60,0 100 200 300 400 500,1,4,300
A,2,2,60,0 100 200 300 400 500,1,5,0
A,2,2,60,0 100 200 300 400 500,1,6,200
A,2,2,60,0 100 200 300 400 500,1,7,500
A,2,2,60,0 100 200 300 400 500,1,8,300
A,2,2,60,0 100 200 300 400 500,1,9,100
A,2,2,60,0 100 200 300 400 500,1,10,100
A,2,2,60,0 100 200 300 400 500,1,11,500
A,2,2,60,0 100 200 300 400 500,1,12,0
A,2,2,60,0 100 200 300 400 500,1,13,100
A,2,2,60,0 100 200 300 400 500,1,14,200
A,2,2,60,0 100 200 300 400 500,1,15,200
A,2,2,60,0 100 200 300 400 500,1,16,400
A,2,2,60,0 100 200 300 400 500,1,17,200
A,2,2,60,0 100 200 300 400 500,1,18,300
A,2,2,60,0 100 200 300 400 500,1,19,500
A,2,2,60,0 100 200 300 400 500,1,20,200
A,2,2,60,0 100 200 300 400 500,1,21,400
A,2,2,60,0 100 200 300 400 500,1,22,300
A,2,2,60,0 100 200 300 400 500,1,23,100
A,2,2,60,0 100 200 300 400 500,1,24,500
A,2,2,60,0 100 200 300 400 500,1,25,300
A,2,2,60,0 100 200 300 400 500,1,26,400
A,2,2,60,0 100 200 300 400 500,1,27,0
A,2,2,60,0 100 200 300 400 500,1,28,100
A,2,2,60,0 100 200 300 400 500,1,29,0
A,2,2,60,0 100 200 300 400 500,1,30,400
A,2,2,60,0 100 200 300 400 500,2,31,0
A,2,2,60,0 100 200 300 400 500,2,32,100
A,2,2,60,0 100 200 300 400 500,2,33,500
A,2,2,60,0 100 200 300 400 500,2,34,200
A,2,2,60,0 100 200 300 400 500,2,35,400
A,2,2,60,0 100 200 300 400 500,2,36,100
A,2,2,60,0 100 200 300 400 500,2,37,500
A,2,2,60,0 100 200 300 400 500,2,38,300
A,2,2,60,0 100 200 300 400 500,2,39,100
A,2,2,60,0 100 200 300 400 500,2,40,500
A,2,2,60,0 100 200 300 400 500,2,41,100
A,2,2,60,0 100 200 300 400 500,2,42,300
A,2,2,60,0 100 200 300 400 500,2,43,0
A,2,2,60,0 100 200 300 400 500,2,44,0
A,2,2,60,0 100 200 300 400 500,2,45,400
A,2,2,60,0 100 200 300 400 500,2,46,300
A,2,2,60,0 100 200 300 400 500,2,47,0
A,2,2,60,0 100 200 300 400 500,2,48,400
A,2,2,60,0 100 200 300 400 500,2,49,200
A,2,2,60,0 100 200 300 400 500,2,50,300
A,2,2,60,0 100 200 300 400 500,2,51,200
A,2,2,60,0 100 200 300 400 500,2,52,500
A,2,2,60,0 100 200 300 400 500,2,53,200
A,2,2,60,0 100 200 300 400 500,2,54,0
A,2,2,60,0 100 200 300 400 500,2,55,400
A,2,2,60,0 100 200 300 400 500,2,56,300
A,2,2,60,0 100 200 300 400 500,2,57,200
A,2,2,60,0 100 200 300 400 500,2,58,500
A,2,2,60,0 100 200 300 400 500,2,59,100
A,2,2,60,0 100 200 300 400 500,2,60,400
