trialSet,seed,numBlocks,numTrials,allDelays,block,trialNum,trialDelay
B,4,2,60,0 100 200 300 400 500,1,1,400
B,4,2,60,0 100 200 300 400 500,1,2,400
B,4,2,60,0 100 200 300 400 500,1,3,200
B,4,2,60,0 100 200 300 400 500,1,4,300
B,4,2,60,0 100 200 300 400 500,1,5,200
B,4,2,60,0 100 200 300 400 500,1,6,200
B,4,2,60,0 100 200 300 400 500,1,7,300
B,4,2,60,0 100 200 300 400 500,1,8,200
B,4,2,60,0 100 200 300 400 500,1,9,0
B,4,2,60,0 100 200 300 400 500,1,10,400
B,4,2,60,0 100 200 300 400 500,1,11,400
B,4,2,60,0 100 200 300 400 500,1,12,500
B,4,2,60,0 100 200 300 400 500,1,13,100
B,4,2,60,0 100 200 300 400 500,1,14,200
B,4,2,60,0 100 200 300 400 500,1,15,500
B,4,2,60,0 100 200 300 400 500,1,16,300
B,4,2,60,0 100 200 300 400 500,1,17,100
B,4,2,60,0 100 200 300 400 500,1,18,100
B,4,2,60,0 100 200 300 400 500,1,19,300
B,4,2,60,0 100 200 300 400 500,1,20,500
B,4,2,60,0 100 200 300 400 500,1,21,300
B,4,2,60,0 100 200 300 400 500,1,22,0
B,4,2,60,0 100 200 300 400 500,1,23,0
B,4,2,60,0 100 200 300 400 500,1,24,500
B,4,2,60,0 100 200 300 400 500,1,25,500
B,4,2,60,0 100 200 300 400 500,1,26,0
B,4,2,60,0 100 200 300 400 500,1,27,100
B,4,2,60,0 100 200 300 400 500,1,28,400
B,4,2,60,0 100 200 300 400 500,1,29,0
B,4,2,60,0 100 200 300 400 500,1,30,100
B,4,2,60,0 100 200 300 400 500,2,31,300
B,4,2,60,0 100 200 300 400 500,2,32,500
B,4,2,60,0 100 200 300 400 500,2,33,400
B,4,2,60,0 100 200 300 400 500,2,34,300
B,4,2,60,0 100 200 300 400 500,2,35,400
B,4,2,60,0 100 200 300 400 500,2,36,100
B,4,2,60,0 100 200 300 400 500,2,37,400
B,4,2,60,0 100 200 300 400 500,2,38,0
B,4,2,60,0 100 200 300 400 500,2,39,500
B,4,2,60,0 100 200 300 400 500,2,40,400
B,4,2,60,0 100 200 300 400 500,2,41,100
B,4,2,60,0 100 200 300 400 500,2,42,100
B,4,2,60,0 100 200 300 400 500,2,43,200
B,4,2,60,0 100 200 300 400 500,2,44,0
B,4,2,60,0 100 200 300 400 500,2,45,0
B,4,2,60,0 100 200 300 400 500,2,46,200
B,4,2,60,0 100 200 300 400 500,2,47,500
B,4,2,60,0 100 200 300 400 500,2,48,500
B,4,2,60,0 100 200 300 400 500,2,49,300
B,4,2,60,0 100 200 300 400 500,2,50,300
B,4,2,60,0 100 200 300 400 500,2,51,200
B,4,2,60,0 100 200 300 400 500,2,52,100
B,4,2,60,0 100 200 300 400 500,2,53,500
B,4,2,60,0 100 200 300 400 500,2,54,0
B,4,2,60,0 100 200 300 400 500,2,55,200
B,4,2,60,0 100 200 300 400 500,2,56,0
B,4,2,60,0 100 200 300 400 500,2,57,400
B,4,2,60,0 100 200 300 400 500,2,58,200
B,4,2,60,0 100 200 300 400 500,2,59,100
B,4,2,60,0 100 200 300 400 500,2,60,300
