trialSet,seed,numBlocks,numTrials,allDelays,block,trialNum,trialDelay
lightToneA,1,1,30,0 100 200 300 400 500,1,1,200
lightToneA,1,1,30,0 100 200 300 400 500,1,2,100
lightToneA,1,1,30,0 100 200 300 400 500,1,3,0
lightToneA,1,1,30,0 100 200 300 400 500,1,4,100
lightToneA,1,1,30,0 100 200 300 400 500,1,5,500
lightToneA,1,1,30,0 100 200 300 400 500,1,6,200
lightToneA,1,1,30,0 100 200 300 400 500,1,7,500
lightToneA,1,1,30,0 100 200 300 400 500,1,8,100
lightToneA,1,1,30,0 100 200 300 400 500,1,9,0
lightToneA,1,1,30,0 100 200 300 400 500,1,10,400
lightToneA,1,1,30,0 100 200 300 400 500,1,11,0
lightToneA,1,1,30,0 100 200 300 400 500,1,12,400
lightToneA,1,1,30,0 100 200 300 400 500,1,13,200
lightToneA,1,1,30,0 100 200 300 400 500,1,14,500
lightToneA,1,1,30,0 100 200 300 400 500,1,15,100
lightToneA,1,1,30,0 100 200 300 400 500,1,16,500
lightToneA,1,1,30,0 100 200 300 400 500,1,17,300
lightToneA,1,1,30,0 100 200 300 400 500,1,18,400
lightToneA,1,1,30,0 100 200 300 400 500,1,19,300
lightToneA,1,1,30,0 100 200 300 400 500,1,20,300
lightToneA,1,1,30,0 100 200 300 400 500,1,21,300
lightToneA,1,1,30,0 100 200 300 400 500,1,22,0
lightToneA,1,1,30,0 100 200 300 400 500,1,23,200
lightToneA,1,1,30,0 100 200 300 400 500,1,24,400
lightToneA,1,1,30,0 100 200 300 400 500,1,25,0
lightToneA,1,1,30,0 100 200 300 400 500,1,26,500
lightToneA,1,1,30,0 100 200 300 400 500,1,27,300
lightToneA,1,1,30,0 100 200 300 400 500,1,28,200
lightToneA,1,1,30,0 100 200 300 400 500,1,29,400
lightToneA,1,1,30,0 100 200 300 400 500,1,30,100
